VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,02/15/2021 02:21:56 PM,02/15/2021 02:38:28 PM,1.0,2.69,1.0,N,236.0,50.0,1.0,13.5,0.0,0.5,2.0,0.0,0.3,18.8,2.5
1,02/15/2021 02:11:26 PM,02/15/2021 02:29:40 PM,1.0,4.0,1.0,N,236.0,249.0,2.0,16.0,2.5,0.5,0.0,0.0,0.3,19.3,2.5
1,02/15/2021 02:41:26 PM,02/15/2021 02:51:14 PM,2.0,2.6,1.0,N,249.0,163.0,1.0,10.0,2.5,0.5,2.65,0.0,0.3,15.95,2.5
1,02/15/2021 02:52:31 PM,02/15/2021 03:06:37 PM,1.0,3.3,1.0,N,163.0,114.0,1.0,13.0,2.5,0.5,3.25,0.0,0.3,19.55,2.5
2,02/15/2021 02:10:35 PM,02/15/2021 02:13:38 PM,2.0,0.57,1.0,N,68.0,68.0,1.0,4.0,0.0,0.5,1.46,0.0,0.3,8.76,2.5
2,02/15/2021 02:04:39 PM,02/15/2021 02:15:20 PM,1.0,1.64,1.0,N,142.0,141.0,1.0,9.0,0.0,0.5,2.46,0.0,0.3,14.76,2.5
2,02/15/2021 02:22:46 PM,02/15/2021 02:26:11 PM,1.0,0.56,1.0,N,262.0,263.0,2.0,4.5,0.0,0.5,0.0,0.0,0.3,7.8,2.5
2,02/15/2021 02:45:13 PM,02/15/2021 03:03:14 PM,1.0,4.35,1.0,N,141.0,246.0,1.0,16.0,0.0,0.5,3.86,0.0,0.3,23.16,2.5
2,02/15/2021 02:52:05 PM,02/15/2021 02:55:36 PM,1.0,0.84,1.0,N,48.0,48.0,1.0,5.0,0.0,0.5,0.0,0.0,0.3,8.3,2.5
2,02/15/2021 02:35:22 PM,02/15/2021 02:47:40 PM,1.0,2.11,1.0,N,151.0,236.0,4.0,-10.5,0.0,-0.5,0.0,0.0,-0.3,-13.8,-2.5
2,02/15/2021 02:35:22 PM,02/15/2021 02:47:40 PM,1.0,2.11,1.0,N,151.0,141.0,2.0,10.5,0.0,0.5,0.0,0.0,0.3,13.8,2.5
1,02/15/2021 02:47:19 PM,02/15/2021 03:02:43 PM,1.0,2.9,1.0,N,237.0,246.0,1.0,13.0,2.5,0.5,3.25,0.0,0.3,19.55,2.5
2,02/15/2021 02:37:58 PM,02/15/2021 02:51:41 PM,1.0,2.5,1.0,N,161.0,238.0,1.0,11.5,0.0,0.5,2.22,0.0,0.3,17.02,2.5
2,02/15/2021 02:00:39 PM,02/15/2021 02:11:21 PM,1.0,1.47,1.0,N,113.0,224.0,1.0,8.5,0.0,0.5,1.3,0.0,0.3,13.1,2.5
2,02/15/2021 02:52:18 PM,02/15/2021 03:01:07 PM,1.0,1.8,1.0,N,234.0,229.0,2.0,8.5,0.0,0.5,0.0,0.0,0.3,11.8,2.5
1,02/15/2021 02:24:31 PM,02/15/2021 02:42:15 PM,1.0,3.4,1.0,N,229.0,239.0,1.0,14.0,2.5,0.5,0.87,0.0,0.3,18.17,2.5
1,02/15/2021 02:43:46 PM,02/15/2021 02:56:05 PM,1.0,2.3,1.0,N,239.0,246.0,1.0,10.5,2.5,0.5,2.0,0.0,0.3,15.8,2.5
